name;brand_name;price;discount;discounted_price;image_url;description;category;subcategory
Aditi Wasan Washed Black Leather Jacket;Aditi Wasan;Rs. 6999;0;Rs. 6999;http://www.jabong.com/aditi-wasan-Washed-Black-Leather-Jacket-417409.html;"Add a touch of definition to an otherwise solid look with this black coloured leather jacket from the house of Aditi Wasan. No guy should be without this lightweight and utterly warm piece that is made using leather.
Fabric        Leather
Sleeves        Full Sleeve
Neck        Mandarin Collar
Wash Care        Leather special care
Fit        Regular
Style        Washed
Color        Black";1;1
Andrew Hill Red Filafil Full Sleeve Formal Shirt;Andrew Hill;Rs. 800;10%;Rs. 720;http://www.jabong.com/andrew-hill-Red-Filafil-Full-Sleeve-Formal-Shirt-538331.html;"Keep things light and airy wearing this red coloured formal shirt by Andrew Hill. Add a dressy touch to your look by adorning this formal shirt that features a button-down style and a classic collar.
Fabric        Cotton
Sleeves        Full Sleeve
Neck        COLLAR
Wash Care        MACHINE WASH,WARM IRON IF REQUIRED
Pockets        1-POCKET
Fit        Regular
USP        REGULAR FIT FULL SLEEVE SOLID FORMAL SHIRT IN FILAFIL FABRIC
Style        Solids
Color        Red";1;1
Arrow Charcoal Grey Blazer;Arrow Charcoal;Rs. 7999;0;Rs. 7999;http://www.jabong.com/Arrow-Charcoal-Grey-Blazer-556384.html;"A sharp pick for a man of substance like you is this classy grey coloured blazer from Arrow. Offering nothing but pure comfort because of its wool fabric, this slim-fit blazer is best teamed up with your formal ensemble for a neat, smart look.
Fabric        wool
Sleeves        Full Sleeve
Neck        LAPEL COLLAR
Fit        Slim
Style        Solids
Color        Charcoal Grey";1;1
Club Fox Solid Dark Grey Narrow Fit Formal Trouser;Club Fox;Rs. 1200;10%;Rs. 1080;http://www.jabong.com/club-fox-Solid-Dark-Grey-Narrow-Fit-Formal-Trouser-575327.html;"Laidback look is in and you can also flaunt the same as you adorn these formal trousers from the house of Club Fox. Exclusive styling of these narrow fit formal trousers was done to enhance the signature details.
Fabric        Cotton Rich
Wash Care        Wash with similar colors, Dry Promptly, Steam Iron, Do Not Bleach, Do Not Wring
Fit        Narrow
Style        Solids
Color        Dark Grey";1;1
Flying Machine Michael Washed Blue Slim Fit Jeans;Flying Machine;Rs. 1200;0%;Rs. 1200;http://www.jabong.com/Flying_Machine-Michael-Washed-Blue-Slim-Fit-Jeans-571276.html;"Be the fashion glitterati wearing these jeans by Flying Machine. These slim fit jeans are made using stretch cotton that makes it a perfect fit for some rock and roll. Fabric        Stretch Cotton
Fit        Slim
Length        Full Length
Style        Washed
Color        Blue";1;1
In The Closet Printed Purple Hooded T-Shirt;In The Closet;Rs. 2000;0%;Rs. 2000;http://www.jabong.com/in-the-closet-Printed-Purple-Hooded-T-Shirt-547808.html;"Add an extra dose of style as you wear this regular-fit T-shirt from the house of In The Closet. Hook up with comfort and roll with time as you wear this T-shirt fashioned using cotton. Style it with acid washed denim jeans and suede loafers for a casual look with an edge.
Fabric        Cotton
Sleeves        Full Sleeve
Neck        Hooded
Wash Care        Wash with similar colors, Dry Promptly, Steam Iron, Do Not Bleach, Do Not Wring
Fit        Regular
Style        Graphic
Color        Purple";1;1
Lee Green Shorts;Lee;Rs. 1899;10%;Rs. 1709;http://www.jabong.com/Lee-Green-Shorts-518266.html;"Skip the humdrum of modern life when you adorn these shorts by Lee. While the green colour adds to the visual appeal, the denim fabric assures total comfort. 
Fabric        Denim
Fit        Slim
Style        Solids
Color        Green";1;1
Pepe Jeans Green Regular Fit Jeans;Pepe Jeans;Rs. 3299;10%;Rs. 2969;http://www.jabong.com/pepe-jeans-Green-Regular-Fit-Jeans-500037.html;"Be the fashion glitterati wearing these jeans by Pepe Jeans. These regular fit jeans are made using denim that makes it a perfect fit for some rock and roll.
Fabric        Denim
Lowers - Waist Rise        MID
Fit        Regular
Length        Full Length
Color        Green";1;1
Puma Black Solid Polo T Shirts;Puma;Rs. 999;0%;Rs. 999;http://www.jabong.com/Puma-Black-Solid-Polo-T-Shirts-427297.html;"Pop champagne and fake like a billionaire as you adorn this black coloured polo T-shirt from the house of PUMA. Soft texture of cotton and classic stitching make this regular-fit T-shirt best option for a brunch.
Fabric        Cotton
Sleeves        Half Sleeve
Neck        Polo Neck
Wash Care        HAND WASH. GENTLE MACHINE WASH. WASH WITH LIKE COLORS
Fit        Regular
Style        Solids
Color        Black";1;1
United Colors of Benetton Navy Blue Poplin Shirt Solid Casual Shirt;United Colors of Benetton;Rs. 1699;0%;Rs. 1699;http://www.jabong.com/United-Colors-of-Benetton-Navy-Blue-Poplin-Shirt-Solid-Casual-Shirt-518374.html;"Show and tell the world about your latest obsession with comfort when you adorn this blue coloured casual shirt by United Colors of Benetton. Let your skin feel the cool breeze as you adorn this regular-fit casual shirt fashioned using cotton.
Fabric        Cotton
Sleeves        Full Sleeve
Neck        COLLAR
Fit        Slim
Style        Solids
Color        Navy Blue";1;1
Puma Photon Ind Blue Floaters;Puma;Rs. 1399;0;Rs. 1399;http://www.jabong.com/Puma-Photon-Ind-Blue-Floaters-416858.html;"Keep your high-flying style intact as you adorn this pair of blue coloured floaters by PUMA. Designed as per the latest trend, this pair will catch every style-conscious man's attention.
Upper Material        Non Leather
Sole Material        Rubber
Inner Lining        Non Leather
Closing        Velcro
Tip shape        Open
Product warranty        3 MONTH AGAINST MANUFACTURING DEFECT
Color        Blue
Upper Material Details        SYNTHETIC LEATHER";1;2
Lee Cooper Black Dress Shoes;Lee Cooper;Rs. 2499;0;Rs. 2499;http://www.jabong.com/Lee_Cooper-Black-Dress-Shoes-145000.html;"Add a touch of chic into your suave look with this unique pair of black dress shoes from Lee Cooper. Stylishly designed, these leather shoes will offer you exemplary comfort and a snug fit.
Upper Material        Genuine Leather
Inner Lining        Leather
Closing        Slip On
Product warranty        3 Month Against Manufacturing Defects
Shoe Care        Surface Dirt can be cleaned with a dry, good quality brush, followed by polish to give color and shine to your shoe. For better results, clean your leather shoes using LEATHER shampoo and let them air-dry. Dry shoes at room temperature only, and never exp
Ankle Height        Low Ankle
Color        Black
Upper Material Details        Genuine Leather";1;2
Woodland Khaki Outdoor Shoes;Woodland;Rs. 3395;0;Rs. 3395;http://www.jabong.com/Woodland-Khaki-Outdoor-Shoes-392161.html;"Woodland brings to you these khaki coloured outdoor shoes, which are specially designed for men who love to explore new terrain. Sturdy and comfortable, these lace-ups feature a suede leather upper and leather lining. The TPR (thermoplastic rubber) sole further makes these outdoor shoes slip resistant and comfortable to walk on rough surfaces.
Upper Material        Suede Leather
Sole Material        TPR
Inner Lining        Leather
Closing        Lace-up
Tip shape        Round
Product warranty        3 MONTH AGAINST MANUFACTURING DEFECT
Color        Khaki
Upper Material Details        SUEDE LEATHER";1;2
Nike Liteforce II Mid White Sneakers;Nike;Rs. 2995;20%;Rs. 2396;http://www.jabong.com/Nike-Liteforce-II-Mid-White-Sneakers-393050.html;"Step out in style as you adorn this pair of black coloured sneakers by Nike. Detailed with a stylish upper, these sneakers are sure to add that extra touch of glamour to your feet.
Upper Material        Canvas
Sole Material        Rubber
Inner Lining        Non Leather
Closing        Lace-up
Tip shape        Round
Product warranty        6 MONTH AGAINST MANUFACTURING DEFECT
Ankle Height        Mid Ankle
Color        White
Upper Material Details        Canvas";1;2
Reebok Lite Scream Lp White Running Shoes;Reebok ;Rs. 1999;20%;Rs. 1598;http://www.jabong.com/Reebok-Lite-Scream-Lp-White-Running-Shoes-358048.html;"Enjoy your workout sessions wearing these white coloured 'Light Scream LP' running shoes from the house of Reebok. These shoes offer cushioning and maximum support. The mesh upper will let your feet breathe, whereas the rubber sole of these shoes ensures complete comfort and optimal surface traction.
Upper Material        Mesh
Sole Material        Rubber
Inner Lining        Mesh
Closing        Lace-up
Product warranty        3 MONTH AGAINST MANUFACTURING DEFECT
Color        White
Upper Material Details        Mesh";1;2
Adidas Brizo Navy Blue Flip Flops;Adidas ;Rs. 1199;20%;Rs. 959;http://www.jabong.com/Adidas-Brizo-Navy-Blue-Flip-Flops-375960.html;"Walk in style and with confidence wearing these navy blue coloured 'Brizo' flip-flops from the house of Adidas. These flip-flops will help you spruce up your cool and trendy look. The rubber sole ensures utmost comfort and maximum surface traction.
Upper Material        Non Leather
Sole Material        Rubber
Inner Lining        Non Leather
Closing        Open/slipper
Product warranty        3 MONTH AGAINST MANUFACTURING DEFECT
Shoe Care        Surface Dirt can be cleaned with a good quality brush or a damp cloth. Use shoe shiner for better results.
Color        Navy Blue
Upper Material Details";1;2
Andrew Hill Black Boots;Andrew Hill;Rs. 1499;0;Rs. 1499;http://www.jabong.com/andrew-hill-Black-Boots-572534.html;"For a man who likes to combine style and comfort, these black coloured boots for men from Andrew Hill are a must-have. Featuring premium quality synthetic upper and lining, these boots are comfortable to wear and are sure to become one of your favourites. The airmax sole makes them high on durability. 
Upper Material        SYNTHETIC
Sole Material        AIRMAX
Inner Lining        SYNTHETIC
Closing        Zip
Tip shape        Square
Product warranty        3 MONTH AGAINST MANUFACTURING DEFECT
Shoe Care        Surface Dirt can be cleaned with a good quality brush or a damp cloth.
Ankle Height        High Ankle
Color        Black
Upper Material Details           SYNTHETIC LEATHER";1;2
Fila Street Mate Black Sneakers;Fila;Rs. 2299;0;Rs. 2299;http://www.jabong.com/Fila-Street-Mate-Black-Sneakers-284703.html;"A perfect addition to your footwear closet this season is this pair of black sneakers from Fila. These not only offer superb comfort because of their non-leather upper and lining, but also provide good durability and traction, courtesy their rubber sole.
Upper Material        Non Leather
Sole Material        Rubber
Inner Lining        Non Leather
Closing        Lace-up
Product warranty        3 Month Against Manufacturing Defects
Shoe Care        Surface Dirt can be cleaned with a good quality brush or a damp cloth. Use shoe shiner for better results.
Ankle Height        High Ankle
Color        Black
Upper Material Details        SYNTHETIC LEATHER";1;2
Bata Brown Sandals;Bata;Rs. 1599;0;Rs. 1599;http://www.jabong.com/bata-Brown-Sandals-319163.html;"Make a striking fashion statement wearing this pair of brown sandals by Bata. Featuring a sleek design, these sandals look extremely classy. Detailed with PU  (polyurethane) outsole, these sandals are durable, lightweight and comfortable.
Upper Material        Genuine Leather
Sole Material        Pu
Inner Lining        Leather
Closing        Unspecified
Product warranty        60 Days AGAINST MANUFACTURING DEFECT
Color        Brown
Upper Material Details        Genuine Leather";1;2
Lotto Techno Ii Navy Blue Running Shoes;Lotto;Rs. 2199;0;Rs. 2199;http://www.jabong.com/Lotto-Techno-Ii-Navy-Blue-Running-Shoes-554301.html;"Lotto presents these ‘Techno II’ running shoes that will provide proper support and excellent comfort to your feet, while gymming or practicing on the field. Navy blue in colour, these lace-ups for men featuring a low-ankle design are lightweight and flexible.
Features:
Synthetic material upper
Mesh lining
Rubber sole
Upper Material        Synthetic Leather
Sole Material        Rubber
Inner Lining        Mesh
Closing        Lace-up
Tip shape        Round
Product warranty        3 MONTH AGAINST MANUFACTURING DEFECT
Fit        REGULAR
Ankle Height        Low Ankle
Color        Navy Blue
Upper Material Details        Synthetic";1;2
Mont Blanc Legend Edt;Mont Blanc;Rs. 4950;46%;Rs. 2675;http://www.jabong.com/Mont_Blanc-Legend-Edt-100Ml-237591.html;Instil confidence into your personality by dabbing this ‘Legend’ EDT from Mont Blanc.  With a rich, masculine fragrance, this EDT includes top notes of bergamot, heart notes of lavender along with base notes of evernyl (oak moss molecule).;1;3
Philips Beared Trimmer;Philips ;Rs. 1295;0;Rs. 1295;http://www.jabong.com/philips-Beared-Trimmer-QT4000-15-500822.html;Get ready to perfect that 5 o’clock shadow that gets the ladies swooning with this ‘Beard Trimmer QT4000/15’ from Philips. Offering precision settings from 1-10 mm, this trimmer promises 35 minutes of cordless use after 10 hours of charging. It also has an ergonomic design and a detachable head that make using and cleaning it that much easier.;1;3
Organix Macadamia Oil Shampoo;Organix;Rs. 725;0;Rs. 725;http://www.jabong.com/organix-Macadamia-Oil-Shampoo-385Ml-438074.html;"Add shine to your hair and make it soft with this unisex ‘Macadamia Oil’ shampoo from Organix ®. This shampoo will provide nourishment to your hair owing to its sugarcane and bamboo extracts along with the macadamia oil. It comes in a 385 ml pack.
Special features        Drench your strands in an ultra-moisturizing luxurious shampoo infused with nutrients, rich in macadamia oil which instantly hydrate and smooth parched dry hair while exotic sugarcane extract and bamboo extract soften and mend split ends for a luscious, v
Kit Contents & How to Use        Apply Organix shampoo generously to wet hair, massage into lather through to ends then rinse hair thoroughly. Follow with Organix Conditioner. For best result use in conjunction with other Organix products. Warnings: Avoid contact with eyes.";1;3
Hugo Boss Pure Deodorant150ml;Hugo Boss;Rs. 1295;27%;Rs. 951;http://www.jabong.com/Hugo-Boss-Pure-Deodorant150ml-82922.html;"Pure from Hugo Boss has amarine sport fragrance, which contains - Citrus, lily, Hyacynth and Mossoia Wood. This deodorant has a Metallic citrus opening which is slightly spicy and mildly floral. This fresh water scent is energizing.

";1;3
Kaya Daily Use Sunscreen2B SPF-15;Kaya;Rs. 790;0;Rs. 790;http://www.jabong.com/kaya-Daily-Use-Sunscreen-SPF-15-83856.html;" It contains SPF 15, which will protect your skin from tanning and pigmentation. It will keep your skin moisturised all day long. A perfect skin solution for summer!
Base Unit of Measure        ML";1;3
DOVE Hairfall Rescue Hair Oil 90 Ml;DOVE;Rs. 185;0;Rs. 185;http://www.jabong.com/dove-Hairfall-Rescue-Hair-Oil-90-Ml-277466.html;Use ‘Hairfall Rescue’ hair oil from Dove to keep the hairfall problem at bay. This hair oil will blend well into your scalp and will nourish your hair from root to tip. This non-sticky hair oil is suitable for all types of hair.;1;3
Bath & Body Works Ocean 2In1 After Shave Lotion 3.4Oz;Bath & Body Works ;Rs. 950;5%;Rs. 903;http://www.jabong.com/bath-body-works-Ocean-2In1-After-Shave-Lotion-34Oz-421437.html;"Now have a smooth and complete shaving experience by applying this ‘Ocean 2 in 1 after shave lotion from the house of Bath & Body Works. It sooths irritated skin and makes it soft and supple. Definitely a must-have in your shaving kit! 
Special features        Ocean for Men is a fresh blend of cypress, vetiver and yuzu
Kit Contents & How to Use        Apply lightly to face and neck immediately after shaving; avoid contact with eyes
Ingrediants        Bergamot, Armoise, Yuzu Zest, Elemi, Watermelon, Lavendin, Cypress, Nutmeg,Orris, Olibanum, Patchouli, Cedarwood, Vettiver";1;3
